url,label
http://serveallus.com,phishing
https://us.imdb.com/name/nm0289710/,legitimate
http://secured-27-verification.ddns.us/fidelity/login.php,phishing
https://www.mbr-pwrc.usgs.gov/id/framlst/i6230id.html,legitimate
https://q-r.to/bfMBCf,phishing
https://www.utahbirds.org/birdsofutah/birdsl-r/plumbeousvireo.htm,legitimate
https://delivery.imaginedbyjess.co/public/o1jgams9ufpbj3rkhtihw3zjoporpzci,phishing
https://www.submit-url.net/,legitimate
https://www.redlineseo.com/,legitimate
https://www.angelfire.com/celeb/starzbios/gottfried_g.html,legitimate
http://d63d.com/adidas,phishing
http://realizacoesffinaceiras.com,phishing
https://home19.inet.tele.dk/teahs/,legitimate
https://platino.bg/fonts/pnzg2nc0xmjkuntyuodgumji2lty0p/_mlognduxndc0nufcrenerkfnw6bb,phishing
https://www.dummysoftware.com/clockdummy.html,legitimate
https://jjoingruppwhatsappme.crazzy.my.id,phishing
https://rvhfi.qwo231sdx.club/index/usps/index.html,phishing
http://www.visionsoundcomm.com,legitimate
https://yts87s2.xyz,phishing
http://looksrare.wf,phishing
https://sites.google.com/view/oeldkf8234/home,phishing
https://www.uvm.edu/~hag/personal/,legitimate
https://gov-hmrc-tax-online.com/refund/email,phishing
https://www.resolutionmedia.com,legitimate
http://t-telegrvm.pro,phishing
https://www.aaceinc.org/pages/breeds/him.htm,legitimate
https://ujof8y59.barclayis.co/index/index/auth,phishing
http://kemanoptical.com/ess,phishing
http://papagaio2000.sites.uol.com.br/indexing.htm,legitimate
https://sullivancreative.com,legitimate
https://keyupdatestonedsdbanh.dynvpn.de/verify.php,phishing
https://www.awn.com/mag/issue4.02/4.02pages/foraylittlejohn.php3,legitimate
https://migratorybirds.fws.gov/issues/cormorant/greatlakes_q&amp,legitimate
https://dev-nordad.pantheonsite.io/updat/imfo/Oteti3.php,phishing
https://patfraley.com/,legitimate
http://www.pearlmanaudiovideo.com,legitimate
https://btinterntmgmt.weebly.com,phishing
https://lnkieca.org,phishing
https://onami.free.fr/,legitimate
https://filecomplaintdigitalhype.vercel.app/submit&,phishing
http://icscards.online-identificatie.nl.lidercash.com.mx/online,phishing
https://flndidevices-lcloud.com/?i=0lu1,phishing
https://birds.cornell.edu/bfl/speciesaccts/casvir.html,legitimate
http://www.superwebsitepromotion.com/,legitimate
https://kundenlogin-strato-de0e5b19b5.veralions.com/do,phishing
https://www.ezoutliner.com/,legitimate
https://claudevorilhon.com/new/auth/rwwp5w/amvzc2ljyubvdxrzb3vyy2uubmv0,phishing
http://unlock-paypal.net,phishing
https://dutsh-helppackage.ecranul.ro/public/0ec58Si9Lu4HoExzuZqSorutuCP6bkOx,phishing
https://facilitaire-controle.tk/index.php/false/false/py1n.html/discovercard.com/dfs/accounthome/summary/-www.schwab.com/secure.accurint.com/unfcu2.org/login1/wachovia.com/myaccounts.aspx/investing.schwab.com/secure/schwab/files/files/files/files/files/files,phishing
http://conference.forest.ku.ac.th/Authentication/bank%20of%20America/6b809f900665a662a20b5c7f0c6665da/security.php?cmd=_account-details&session=a3fe01a63c39aabc2e8008f5e81298f0&dispatch=e88ed814cb3445a77928fa3cc2fb2c0a298e4e52,phishing
http://www.bet365-lf.com,phishing
https://www.naturia.per.sg/buloh/birds/pycnonotus_goiavier.htm,legitimate
http://www.concisegroup.com/,legitimate
https://nnfems.com/Webmail/48/Webmail/webmail.php,phishing
https://www.npwrc.usgs.gov/resource/birds/forest/species/podinigr.htm,legitimate
http://www.hentai-comics.com/,legitimate
https://www.nenature.com/redbelliedwoodpecker.htm,legitimate
http://www.awn.com/mag/issue2.7/2.7pages/2.7jacksonjones.html,legitimate
https://trezoriocstart.gitbook.io/us,phishing
http://www.timezonesforpcs.com/,legitimate
https://squarestoreaddress.com/login?cmd=3dwww.squareup.com-auth0_submit=,phishing
https://170.130.55.97/banks/desjardins/reset.php,phishing
https://bakerstreetdozen.com/frewernews.html,legitimate
http://www.jastusa.com/,legitimate
https://cgn.com.py/juhn/25GB/index.php?email=nobody@mycraftmail.com,phishing
https://www.sixtop.co.uk/,legitimate
https://shriharimachinery.com,phishing
https://www.acutesoftware.com.au/timer.html,legitimate
https://www.himmikatz.com/,legitimate
https://www.myjacseob.lxafsye.ne.pw,phishing
http://riseinteractive.com/,legitimate
https://www.camp.girlscoutsofcolorado.org.usrfiles.com/html/06a9e8_5a1730ed1c5e186978715100362167af.html,phishing
http://usps.com-tracktbz.top/us,phishing
https://protection-0990361308.duckdns.org,phishing
https://jaat.futminna.edu.ng/cache/com_templates/templates/shaper_educon/huntington/app/bill.php,phishing
https://secure-data3-verified.ddns.us/secure/mlogin2.html,phishing
https://www.myebranchsuncoast.info/cxl,phishing
https://www.searchenginepatrol.com/,legitimate
https://www.springcreeksoftware.com/,legitimate
https://www.honoluluzoo.org/red_and_yellow_barbet.htm,legitimate
https://joangarbe.com/ellsworth%20lindgren,phishing
https://postbankq.temp.swtest.ru/login,phishing
https://us.imdb.com/name/nm0004931/,legitimate
https://www.jaccs-login.com,phishing
https://www.uvm.edu/~vtconn/,legitimate
http://yourmarriagecelebrant.com,phishing
http://www.uvm.edu/~legal,legitimate
http://www.koalatv.com/,legitimate
http://www.uvm.edu/~jdavison/,legitimate
https://www.singlethrow.com/,legitimate
https://secure--ssso-coinbase--m-auth.webflow.io,phishing
https://www.naturcalendar.com/,legitimate
https://taxxfile-mygov-au.web.app,phishing
http://www.crispinfreeman.com/,legitimate
https://en.wikipedia.org/wiki/swee_waxbill,legitimate
http://www.cerias.purdue.edu/homes/spaf/yucks/v2/msg00061.html,legitimate
https://hirethemiddleman.com/stratapremiumfoc/updation,phishing
http://consiseenterprise.com/confirme/customer_center/customer_case=idpp00c968/myaccount/sign-in/?country.x=us&customer.x=id-pa$1$ecmlb3je$7thd4dlvwtplpfm5bu3oa0&locale.x=en_us&safety=6u5cgjkdm3ze6dvta6l8q0oa3d5xe3kymazfw4iy3ancs4gh19avu4ebi7n6teb0h21247d6jq2srpf6f72exwelpr61oc,phishing
https://www.rjbstudio.com,legitimate
https://www.uvm.edu/~rlweb/ira/,legitimate
https://roseadr.com/wpz/banks/directing/atbonline/atb,phishing
https://shopthejewelrycollection.com/ana,phishing
https://timerecorder.51.net/,legitimate
https://www.birds.cornell.edu/allaboutbirds/birdguide/nuttalls_woodpecker_dtl.html,legitimate
https://secure.hipaaone.com/login/AccessConsole.do,phishing
https://www.neverforget.com/,legitimate
https://geocities.com/plugplaymanga/,legitimate
https://portal.negociebra.com.br,phishing
https://opttorgservis.ru/bitrix/admin/zruowzn0i3mgqbetpcgtzw7mi/onedrive/index.html,phishing
http://www.emba.uvm.edu/~asme/,legitimate
